date,sentiment_classfn,xrp_price
2020-10-03,1276,0.23273
2020-10-04,1281,0.24794
2020-10-05,1282,0.2503
2020-10-06,1283,0.24545
2020-10-07,1273,0.2487
2020-10-08,1282,0.25141
2020-10-09,1281,0.25293
2020-10-10,1288,0.25402
2020-10-11,1276,0.25544
2020-10-12,1276,0.25603
2020-10-13,1274,0.2565
2020-10-14,1278,0.24906
2020-10-15,1275,0.24596
2020-10-16,1283,0.24011
2020-10-17,1267,0.24057
2020-10-18,1282,0.24221
2020-10-19,1299,0.24558
2020-10-20,1273,0.24322
2020-10-21,1277,0.25088
2020-10-22,1293,0.25709
2020-10-23,1270,0.25471
2020-10-24,1274,0.2562
2020-10-25,1279,0.25313
2020-10-26,1297,0.2481
2020-10-27,1269,0.25273
2020-10-28,1270,0.2454
2020-10-29,1279,0.24239
2020-10-30,1269,0.23905
2020-10-31,1273,0.23968
2020-11-01,1268,0.23999
2020-11-02,1283,0.23523
2020-11-03,1280,0.2396
2020-11-04,1278,0.23758
2020-11-05,1279,0.24561
2020-11-06,1313,0.25863
2020-11-07,1293,0.2491
2020-11-08,1288,0.25374
2020-11-09,1274,0.25059
2020-11-10,1295,0.2538
2020-11-11,1283,0.25581
2020-11-12,1283,0.2549
2020-11-13,1290,0.2659
2020-11-14,1313,0.26824
2020-11-15,1287,0.26954
2020-11-16,1345,0.28813
2020-11-17,1400,0.30247
2020-11-18,1309,0.29335
2020-11-19,1315,0.30358
2020-11-20,1416,0.32991
2020-11-21,1975,0.46283
2020-11-22,1918,0.44611
2020-11-23,2055,0.61579
2020-11-24,2392,0.694
2020-11-25,1658,0.63022
2020-11-26,1395,0.53654
2020-11-27,1505,0.5623
2020-11-28,1597,0.62579
2020-11-29,1368,0.60543
2020-11-30,1552,0.66417
2020-12-01,1411,0.61088
2020-12-02,1362,0.62972
2020-12-03,1385,0.63046
2020-12-04,1381,0.55367
2020-12-05,1358,0.58517
2020-12-06,1404,0.62107
2020-12-07,1320,0.60818
2020-12-08,1276,0.5589
2020-12-09,1358,0.58265
2020-12-10,1278,0.57267
2020-12-11,1280,0.54945
2020-12-12,1274,0.50658
2020-12-13,1304,0.51365
2020-12-14,1307,0.4974
2020-12-15,1285,0.46793
2020-12-16,1494,0.56941
2020-12-17,1627,0.5769
2020-12-18,1341,0.58337
2020-12-19,1324,0.57666
2020-12-20,1257,0.55586
2020-12-21,1278,0.51445
2020-12-22,1106,0.44642
2020-12-23,1,0.2605
2020-12-24,1140,0.33863
2020-12-25,1201,0.31768
2020-12-26,1323,0.29481
2020-12-27,1300,0.28407
2020-12-28,1052,0.24845
2020-12-29,255,0.22142
2020-12-30,1063,0.21138
2020-12-31,1143,0.21959
2021-01-01,1353,0.23746
2021-01-02,1217,0.22064
2021-01-03,1250,0.2254
2021-01-04,1329,0.23565
2021-01-05,1263,0.22573
2021-01-06,1294,0.24854
2021-01-07,1511,0.32389
2021-01-08,1307,0.32032
2021-01-09,1356,0.32419
2021-01-10,1360,0.31491
2021-01-11,1310,0.28743
2021-01-12,1359,0.29254
2021-01-13,1289,0.30582
2021-01-14,1325,0.29642
2021-01-15,1299,0.27991
2021-01-16,1258,0.27924
2021-01-17,1276,0.27746
2021-01-18,1279,0.28528
2021-01-19,1415,0.29396
2021-01-20,1299,0.29539
2021-01-21,1272,0.26802
2021-01-22,1276,0.27217
2021-01-23,1298,0.27167
2021-01-24,1283,0.27339
2021-01-25,1303,0.26757
2021-01-26,1279,0.26834
2021-01-27,1279,0.25039
2021-01-28,1300,0.26407
2021-01-29,1375,0.2829
2021-01-30,2216,0.44372
2021-01-31,1873,0.49507
2021-02-01,2483,0.37106
2021-02-02,1303,0.37254
2021-02-03,1348,0.39721
2021-02-04,1464,0.44545
2021-02-05,1335,0.45219
2021-02-06,1303,0.44307
2021-02-07,1303,0.41849
2021-02-08,1305,0.45099
2021-02-09,1337,0.47636
2021-02-10,1472,0.50429
2021-02-11,1395,0.52806
2021-02-12,1653,0.609
2021-02-13,1562,0.63309
2021-02-14,1359,0.59211
2021-02-15,1326,0.54976
2021-02-16,1315,0.51995
2021-02-17,1321,0.53467
2021-02-18,1277,0.53204
2021-02-19,1323,0.56465
2021-02-20,1318,0.51167
2021-02-21,1354,0.54468
2021-02-22,1590,0.56646
2021-02-23,1319,0.47579
2021-02-24,1302,0.4686
2021-02-25,1266,0.43601
2021-02-26,1273,0.42788
2021-02-27,1313,0.43589
2021-02-28,1291,0.41565
2021-03-01,1307,0.44537
2021-03-02,1292,0.4357
2021-03-03,1304,0.44846
2021-03-04,1380,0.48096
2021-03-05,1311,0.45457
2021-03-06,1301,0.46285
